model,split,population,group,count,observed_bad,expected_bad,average_probability,observed_good,expected_good
oracle,validation,full,5,6150,392,382.7187886477684,0.06223069734110055,5758,5767.281211352231
oracle,validation,full,6,6150,478,490.03272660841344,0.0796801181477095,5672,5659.967273391587
oracle,validation,full,7,6150,648,639.7514949670682,0.10402463332797857,5502,5510.2485050329315
oracle,validation,full,8,6150,962,889.8221268193993,0.14468652468608117,5188,5260.177873180601
oracle,validation,full,9,6151,1603,1606.38169921412,0.2611578116101642,4548,4544.61830078588
oracle,validation,synthetic_accepted,0,3996,46,43.87033257593968,0.01097856170569061,3950,3952.1296674240602
oracle,validation,synthetic_accepted,1,3995,92,76.43264387200841,0.019132076063080955,3903,3918.5673561279914
oracle,validation,synthetic_accepted,2,3995,105,105.21722516091015,0.0263372278250088,3890,3889.78277483909
oracle,validation,synthetic_accepted,3,3995,109,137.36705484164386,0.03438474464121248,3886,3857.632945158356
oracle,validation,synthetic_accepted,4,3995,150,174.919047685325,0.043784492537002506,3845,3820.080952314675
oracle,validation,synthetic_accepted,5,3995,213,221.44425629056855,0.05543035201265796,3782,3773.555743709431
oracle,validation,synthetic_accepted,6,3995,263,282.08172746457046,0.07060869273205769,3732,3712.9182725354294
oracle,validation,synthetic_accepted,7,3995,363,369.0518885295939,0.09237844518888458,3632,3625.9481114704063
oracle,validation,synthetic_accepted,8,3995,535,510.0264079222488,0.1276661847114515,3460,3484.973592077751
oracle,validation,synthetic_accepted,9,3995,925,935.8401721846171,0.23425285912005436,3070,3059.159827815383
oracle,validation,synthetic_rejected,0,2156,44,32.088480155250636,0.014883339589633875,2112,2123.9115198447494
oracle,validation,synthetic_rejected,1,2155,66,56.2564370391185,0.026105075192166358,2089,2098.7435629608817
oracle,validation,synthetic_rejected,2,2155,74,78.63404354442183,0.03648911533383844,2081,2076.3659564555783
oracle,validation,synthetic_rejected,3,2155,96,102.73985250217417,0.047675105569454375,2059,2052.260147497826
oracle,validation,synthetic_rejected,4,2155,147,131.13301566130016,0.060850587313828385,2008,2023.8669843387
oracle,validation,synthetic_rejected,5,2155,168,165.89895056116922,0.07698327172212029,1987,1989.1010494388308
oracle,validation,synthetic_rejected,6,2154,229,210.4296540113367,0.09769250418353607,1925,1943.5703459886633
oracle,validation,synthetic_rejected,7,2156,299,274.67694073910116,0.12740117845041798,1857,1881.3230592608988
oracle,validation,synthetic_rejected,8,2155,406,373.82570386337954,0.17346900411293714,1749,1781.1742961366203
oracle,validation,synthetic_rejected,9,2155,635,647.002949832329,0.3002333873931921,1520,1507.997050167671
application_only,test,full,0,6151,71,77.81907530871617,0.012651451033769495,6080,6073.1809246912835
application_only,test,full,1,6150,138,135.50072109440177,0.02203263757632549,6012,6014.499278905599
application_only,test,full,2,6150,189,186.1551284397352,0.0302691265755667,5961,5963.844871560264
application_only,test,full,3,6150,252,240.61405618080485,0.03912423677736664,5898,5909.385943819195
application_only,test,full,4,6151,290,305.38496516287285,0.04964801904777644,5861,5845.6150348371275
application_only,test,full,5,6150,407,383.7479538399939,0.06239804127479576,5743,5766.252046160006
application_only,test,full,6,6150,522,485.49302856776336,0.07894195586467696,5628,5664.506971432236
application_only,test,full,7,6150,639,629.7223168408135,0.10239387265704285,5511,5520.277683159186
application_only,test,full,8,6150,870,865.2811427512847,0.14069612077256663,5280,5284.718857248716
application_only,test,full,9,6151,1587,1489.9300383285092,0.2422256605964086,4564,4661.069961671491
application_only,test,synthetic_accepted,0,3995,42,46.513845177214264,0.011643015063132481,3953,3948.486154822786
application_only,test,synthetic_accepted,1,3994,74,80.46094483522504,0.020145454390391847,3920,3913.539055164775
application_only,test,synthetic_accepted,2,3994,102,110.0442123024771,0.027552381648091415,3892,3883.9557876975227
application_only,test,synthetic_accepted,3,3995,136,141.99188083177694,0.03554239820570136,3859,3853.008119168223
application_only,test,synthetic_accepted,4,3994,179,179.08334961612584,0.044838094545850235,3815,3814.916650383874
application_only,test,synthetic_accepted,5,3994,230,224.4793351040362,0.056204139985988034,3764,3769.520664895964
application_only,test,synthetic_accepted,6,3995,299,283.57343219220735,0.07098208565512074,3696,3711.4265678077927
application_only,test,synthetic_accepted,7,3994,359,368.0954968537098,0.09216211738951172,3635,3625.90450314629
application_only,test,synthetic_accepted,8,3994,496,505.50698661756815,0.12656659654921587,3498,3488.493013382432
application_only,test,synthetic_accepted,9,3995,900,880.7753564763756,0.22046942590147073,3095,3114.2246435236243
application_only,test,synthetic_rejected,0,2156,39,33.44707147201196,0.015513483985163248,2117,2122.552928527988
application_only,test,synthetic_rejected,1,2156,72,57.813988521697524,0.026815393562939483,2084,2098.1860114783026
application_only,test,synthetic_rejected,2,2156,95,78.9630362305312,0.036624784893567346,2061,2077.036963769469
application_only,test,synthetic_rejected,3,2156,89,102.77278328619514,0.04766826683033169,2067,2053.227216713805
application_only,test,synthetic_rejected,4,2156,146,129.92530546951485,0.06026220105265068,2010,2026.0746945304852
application_only,test,synthetic_rejected,5,2155,181,162.27481037553832,0.07530153613714076,1974,1992.7251896244616
application_only,test,synthetic_rejected,6,2156,241,203.7916156013227,0.09452301280209773,1915,1952.2083843986773
application_only,test,synthetic_rejected,7,2156,261,262.90407847170894,0.1219406671946702,1895,1893.095921528291
application_only,test,synthetic_rejected,8,2156,374,356.8895245901846,0.16553317467077205,1782,1799.1104754098155
