feature,kind,iv,status
LIVE_CITY_NOT_WORK_CITY,numeric,0.015496501104473901,outside_iv_range
POS_DELINQUENT_COUNT,numeric,0.015299019652775584,outside_iv_range
FLAG_DOCUMENT_6,numeric,0.01491117335401775,outside_iv_range
CC_LIMIT_SUM,numeric,0.014519261060722311,outside_iv_range
INST_LATEST_PAYMENT_DAY,numeric,0.014413673154409199,outside_iv_range
PREV_DAYS_DECISION_RECENT,numeric,0.01412709565188724,outside_iv_range
DEF_60_CNT_SOCIAL_CIRCLE,numeric,0.013912801252490399,outside_iv_range
BUREAU_BALANCE_DELINQUENCY_RATE_MAX,numeric,0.013816022450128623,outside_iv_range
DEF_30_CNT_SOCIAL_CIRCLE,numeric,0.013699934227865047,outside_iv_range
FONDKAPREMONT_MODE,categorical,0.01341697470258188,outside_iv_range
AMT_ANNUITY,numeric,0.01210904547365205,outside_iv_range
HOUR_APPR_PROCESS_START,numeric,0.011734594678838098,outside_iv_range
NONLIVINGAPARTMENTS_MODE,numeric,0.011725108007770026,outside_iv_range
NONLIVINGAPARTMENTS_MEDI,numeric,0.011719110037019797,outside_iv_range
NONLIVINGAPARTMENTS_AVG,numeric,0.011712704709417395,outside_iv_range
FLAG_WORK_PHONE,numeric,0.01070770706632125,outside_iv_range
FLAG_PHONE,numeric,0.010608071385600002,outside_iv_range
AMT_INCOME_TOTAL,numeric,0.010208008128556965,outside_iv_range
NAME_HOUSING_TYPE,categorical,0.010157079737651384,outside_iv_range
PREV_CANCELLED_COUNT,numeric,0.009959580906390585,outside_iv_range
INST_RECORD_COUNT,numeric,0.00961961074897422,outside_iv_range
PREV_APPLICATION_COUNT,numeric,0.00941212346992206,outside_iv_range
CC_DPD_MEAN,numeric,0.009200492859054629,outside_iv_range
POS_TERM_SUM,numeric,0.009112223831033262,outside_iv_range
CC_DPD_MAX,numeric,0.00880800079999668,outside_iv_range
CC_DPD_DEF_MAX,numeric,0.008699656952748469,outside_iv_range
PREV_CANCELLED_RATE,numeric,0.008573668767069144,outside_iv_range
POS_REMAINING_SUM,numeric,0.008279969533901298,outside_iv_range
CC_LATEST_MONTH,numeric,0.007944162740914697,outside_iv_range
CC_DPD_SUM,numeric,0.007453641724667804,outside_iv_range
BUREAU_BALANCE_MAX_SEVERITY,numeric,0.007421876997440732,outside_iv_range
CC_DELINQUENCY_RATE,numeric,0.007396966761911107,outside_iv_range
FLAG_OWN_CAR,categorical,0.006961081274729872,outside_iv_range
CC_DELINQUENT_COUNT,numeric,0.0068631088213574765,outside_iv_range
POS_LATEST_MONTH,numeric,0.0068520679908459295,outside_iv_range
CNT_CHILDREN,numeric,0.004817698288007018,outside_iv_range
APP_CREDIT_INCOME_RATIO,numeric,0.004585062628857214,outside_iv_range
APP_INCOME_PER_PERSON,numeric,0.004520460873017415,outside_iv_range
APP_ANNUITY_INCOME_RATIO,numeric,0.003344401692090429,outside_iv_range
OBS_30_CNT_SOCIAL_CIRCLE,numeric,0.0029825658275758615,outside_iv_range
OBS_60_CNT_SOCIAL_CIRCLE,numeric,0.0028250855290656548,outside_iv_range
FLAG_DOCUMENT_13,numeric,0.0027528112977942966,outside_iv_range
FLAG_DOCUMENT_14,numeric,0.0024229520086568083,outside_iv_range
CNT_FAM_MEMBERS,numeric,0.002019407477427146,outside_iv_range
BUREAU_BALANCE_SEVERE_RATE_MAX,numeric,0.0018777184711387526,outside_iv_range
FLAG_DOCUMENT_16,numeric,0.001869214972905752,outside_iv_range
NAME_TYPE_SUITE,categorical,0.0017969007238852596,outside_iv_range
WEEKDAY_APPR_PROCESS_START,categorical,0.0015883472797998642,outside_iv_range
FLAG_DOCUMENT_15,numeric,0.001354072676642437,outside_iv_range
FLAG_DOCUMENT_8,numeric,0.0012968189764517087,outside_iv_range
FLAG_DOCUMENT_18,numeric,0.0006920337211694784,outside_iv_range
REG_REGION_NOT_LIVE_REGION,numeric,0.0006648970336483576,outside_iv_range
FLAG_DOCUMENT_21,numeric,0.0006615744275893197,outside_iv_range
REG_REGION_NOT_WORK_REGION,numeric,0.0006136326289092186,outside_iv_range
FLAG_DOCUMENT_9,numeric,0.00038328980842798974,outside_iv_range
FLAG_DOCUMENT_17,numeric,0.000369426389474319,outside_iv_range
FLAG_DOCUMENT_11,numeric,0.00031927006742920574,outside_iv_range
FLAG_OWN_REALTY,categorical,0.0002506508394289012,outside_iv_range
FLAG_DOCUMENT_19,numeric,0.00012763010313629906,outside_iv_range
FLAG_DOCUMENT_12,numeric,6.824906460648504e-05,outside_iv_range
FLAG_EMAIL,numeric,5.565814891384176e-05,outside_iv_range
LIVE_REGION_NOT_WORK_REGION,numeric,5.455566879999719e-05,outside_iv_range
FLAG_DOCUMENT_5,numeric,4.7520373216773545e-05,outside_iv_range
FLAG_DOCUMENT_10,numeric,3.603090371483301e-05,outside_iv_range
FLAG_DOCUMENT_4,numeric,2.4157825882710828e-05,outside_iv_range
FLAG_DOCUMENT_2,numeric,1.7864019643427774e-05,outside_iv_range
FLAG_DOCUMENT_7,numeric,5.477073178661748e-06,outside_iv_range
FLAG_DOCUMENT_20,numeric,4.057145238079344e-09,outside_iv_range
FLAG_CONT_MOBILE,numeric,0.0,outside_iv_range
FLAG_MOBIL,numeric,0.0,outside_iv_range
NAME_CONTRACT_TYPE,categorical,0.0,outside_iv_range
