sensitivity_multiplier,score_band,lower_score,upper_score,accepted_count,rejected_count,accepted_bad_rate,bad_odds_multiplier,inferred_rejected_bad_rate,diagnostic_hidden_rejected_count,diagnostic_hidden_rejected_bad_rate,diagnostic_inference_error,diagnostic_only_not_used_for_fitting
1.25,8,596.4121106354066,607.7672812273437,11986,4163,0.018354747205072585,1.25,0.022838634664894945,4163,0.02426134998798943,-0.0014227153230944867,True
1.25,9,607.7672812273437,inf,11987,3080,0.01159589555351631,1.25,0.014452970657350218,3080,0.01396103896103896,0.0004919316963112579,True
1.35,0,-inf,536.4052666625377,11987,11468,0.22732960707433053,1.35,0.28427641365454087,11468,0.25845831880013953,0.02581809485440134,True
1.35,1,536.4052666625377,548.8575394471814,11986,8581,0.1317370265309528,1.35,0.17000634039549714,8581,0.13762964689430138,0.032376693501195764,True
1.35,2,548.8575394471814,558.0758190797628,11986,7845,0.09511096278992158,1.35,0.12426322163907956,7845,0.09674952198852772,0.027513699650551837,True
1.35,3,558.0758190797628,565.9665907175477,11987,7024,0.06456995078001168,1.35,0.08524298615586684,7024,0.06904897494305239,0.016194011212814455,True
1.35,4,565.9665907175477,573.1823289093343,11986,6452,0.05448022693141999,1.35,0.0721721225914995,6452,0.055486670799752016,0.016685451791747477,True
1.35,5,573.1823289093343,580.3980091976047,11986,5933,0.044551977306858004,1.35,0.05922171380689893,5933,0.045339625821675375,0.013882087985223557,True
1.35,6,580.3980091976047,587.8646808790049,11987,5298,0.029365145574372236,1.35,0.03923964922131757,5298,0.03869384673461684,0.0005458024867007333,True
1.35,7,587.8646808790049,596.4121106354066,11986,4798,0.024862339395961955,1.35,0.03327460857050694,4798,0.02417674030846186,0.009097868262045079,True
1.35,8,596.4121106354066,607.7672812273437,11986,4163,0.018354747205072585,1.35,0.024620741109176822,4163,0.02426134998798943,0.00035939112118739056,True
1.35,9,607.7672812273437,inf,11987,3080,0.01159589555351631,1.35,0.015591181199187414,3080,0.01396103896103896,0.0016301422381484534,True
1.5,0,-inf,536.4052666625377,11987,11468,0.22732960707433053,1.5,0.3061912431177198,11468,0.25845831880013953,0.04773292431758025,True
1.5,1,536.4052666625377,548.8575394471814,11986,8581,0.1317370265309528,1.5,0.18539391804626046,8581,0.13762964689430138,0.04776427115195908,True
1.5,2,548.8575394471814,558.0758190797628,11986,7845,0.09511096278992158,1.5,0.1361898693851545,7845,0.09674952198852772,0.03944034739662679,True
1.5,3,558.0758190797628,565.9665907175477,11987,7024,0.06456995078001168,1.5,0.09382576369807662,7024,0.06904897494305239,0.02477678875502423,True
1.5,4,565.9665907175477,573.1823289093343,11986,6452,0.05448022693141999,1.5,0.07955329949238578,6452,0.055486670799752016,0.024066628692633762,True
1.5,5,573.1823289093343,580.3980091976047,11986,5933,0.044551977306858004,1.5,0.06537174569493186,5933,0.045339625821675375,0.020032119873256482,True
1.5,6,580.3980091976047,587.8646808790049,11987,5298,0.029365145574372236,1.5,0.04341034284304859,5298,0.03869384673461684,0.00471649610843175,True
1.5,7,587.8646808790049,596.4121106354066,11986,4798,0.024862339395961955,1.5,0.036835599505562415,4798,0.02417674030846186,0.012658859197100556,True
1.5,8,596.4121106354066,607.7672812273437,11986,4163,0.018354747205072585,1.5,0.027281746031746032,4163,0.02426134998798943,0.0030203960437566006,True
1.5,9,607.7672812273437,inf,11987,3080,0.01159589555351631,1.5,0.017293576079293323,3080,0.01396103896103896,0.003332537118254363,True
2.0,0,-inf,536.4052666625377,11987,11468,0.22732960707433053,2.0,0.37044589450788473,11468,0.25845831880013953,0.1119875757077452,True
2.0,1,536.4052666625377,548.8575394471814,11986,8581,0.1317370265309528,2.0,0.2328050129008478,8581,0.13762964689430138,0.09517536600654641,True
