feature,bin,woe,coefficient,exact_points,display_points
PREV_GRANTED_REQUESTED_RATIO_MEAN,MISSING,0.2995734049183695,-0.43569359364323457,3.766074998484,4
APP_GOODS_CREDIT_RATIO,N0,-0.5629502895563895,-0.6196954635935253,-10.065906648713142,-10
APP_GOODS_CREDIT_RATIO,N1,-0.3344773068272416,-0.6196954635935253,-5.980665449677773,-6
APP_GOODS_CREDIT_RATIO,N2,-0.09409482885234174,-0.6196954635935253,-1.6824749554719574,-2
APP_GOODS_CREDIT_RATIO,N3,0.10408996065713731,-0.6196954635935253,1.8611942235052639,2
APP_GOODS_CREDIT_RATIO,N4,0.22542294109664268,-0.6196954635935253,4.030704528716433,4
APP_GOODS_CREDIT_RATIO,MISSING,-0.09355287205837043,-0.6196954635935253,-1.6727844257805171,-2
OCCUPATION_TYPE,C0,0.34496185371737914,-0.3632932672982973,3.6160377606679375,4
OCCUPATION_TYPE,C1,-0.028618651108116042,-0.3632932672982973,-0.2999929469045386,0
OCCUPATION_TYPE,C2,-0.21777830219205616,-0.3632932672982973,-2.2828453514335756,-2
OCCUPATION_TYPE,C3,-0.3037432836196927,-0.3632932672982973,-3.183967071379247,-3
OCCUPATION_TYPE,C4,-0.345960764186498,-0.3632932672982973,-3.6265087676414205,-4
OCCUPATION_TYPE,MISSING,0.2345725548521819,-0.3632932672982973,2.4588898941178994,2
OCCUPATION_TYPE,OTHER,0.0,-0.3632932672982973,0.0,0
BUREAU_ACTIVE_COUNT,N0,0.38471420053055844,-0.05975018477248062,0.6632572478395898,1
BUREAU_ACTIVE_COUNT,N1,0.17122132329210635,-0.05975018477248062,0.2951899968900539,0
BUREAU_ACTIVE_COUNT,N2,0.11268945042031267,-0.05975018477248062,0.19427953177516152,0
BUREAU_ACTIVE_COUNT,N3,-0.01115494538589829,-0.05975018477248062,-0.019231414817151127,0
BUREAU_ACTIVE_COUNT,N4,-0.14224709821755965,-0.05975018477248062,-0.2452376822764367,0
BUREAU_ACTIVE_COUNT,N5,-0.2919667835829907,-0.05975018477248062,-0.5033582983751849,-1
BUREAU_ACTIVE_COUNT,N6,-0.4798640586413798,-0.05975018477248062,-0.8272980681053289,-1
BUREAU_ACTIVE_COUNT,MISSING,-0.33635428075441137,-0.05975018477248062,-0.5798834933687749,-1
CC_UTILIZATION_MEAN,N0,0.3585720490672577,-0.5554352916750624,5.7466459143441,6
CC_UTILIZATION_MEAN,N1,-0.07350666722835744,-0.5554352916750624,-1.1780527511938292,-1
CC_UTILIZATION_MEAN,N2,-0.7430098414726508,-0.5554352916750624,-11.907828512911705,-12
CC_UTILIZATION_MEAN,MISSING,0.04789650847487316,-0.5554352916750624,0.7676121868797686,1
INST_LATE_RATE,N0,0.18162641557371523,-0.7049754338054909,3.694515817150981,4
INST_LATE_RATE,N1,0.03554732997544597,-0.7049754338054909,0.7230785920480187,1
INST_LATE_RATE,N2,-0.023641353668472385,-0.7049754338054909,-0.4808956604199584,0
INST_LATE_RATE,N3,-0.06946612749677976,-0.7049754338054909,-1.4130307311433872,-1
INST_LATE_RATE,N4,-0.26506788212351234,-0.7049754338054909,-5.391822990233316,-5
INST_LATE_RATE,N5,-0.27678474166649325,-0.7049754338054909,-5.630159042685501,-6
INST_LATE_RATE,N6,-0.36102361681309997,-0.7049754338054909,-7.3436865362776,-7
INST_LATE_RATE,N7,-0.5620369656170691,-0.7049754338054909,-11.432557608631825,-11
INST_LATE_RATE,MISSING,0.26924132737901546,-0.7049754338054909,5.476716255674719,5
NAME_INCOME_TYPE,C0,0.45321823325878363,-0.1874283365369002,2.4510217145877946,2
NAME_INCOME_TYPE,C1,0.12843155393879147,-0.1874283365369002,0.6945628053814198,1
NAME_INCOME_TYPE,C2,-0.19302833723873689,-0.1874283365369002,-1.0439047050271133,-1
NAME_INCOME_TYPE,C3,-0.8157974312934506,-0.1874283365369002,-4.41186402503686,-4
NAME_INCOME_TYPE,MISSING,0.0,-0.1874283365369002,0.0,0
NAME_INCOME_TYPE,OTHER,0.0,-0.1874283365369002,0.0,0
