population,feature,bin,expected_share,actual_share,csi_contribution
validation,INST_LATE_RATE,N1,0.09164471616099205,0.09136288250788592,8.68054347405005e-07
validation,INST_LATE_RATE,N2,0.04747271091455021,0.04699034177750317,4.926413030343963e-06
validation,INST_LATE_RATE,N3,0.049429286852460085,0.04977073916295405,2.35060706071416e-06
validation,INST_LATE_RATE,N4,0.049911655989507114,0.050778836460602904,1.4937270531968475e-05
validation,INST_LATE_RATE,N5,0.055933140385678516,0.057754219374979675,5.8346193935108797e-05
validation,INST_LATE_RATE,N6,0.0993409428419672,0.09867971773275666,4.415905580749344e-06
validation,INST_LATE_RATE,N7,0.05503886052486098,0.05427465773470781,1.0685145407563496e-05
validation,NAME_INCOME_TYPE,C0,0.1800375055553749,0.18027056030698188,3.014893640598941e-07
validation,NAME_INCOME_TYPE,C1,0.30414187072507126,0.3049006536372801,1.8906785083739129e-06
validation,NAME_INCOME_TYPE,C2,0.5156471876253347,0.5146174108159084,2.0585791882633997e-06
validation,NAME_INCOME_TYPE,C3,0.00017343609421915818,0.00021137523982959903,7.5053396816875275e-06
validation,PREV_REFUSED_RATE,MISSING,0.05302266592956326,0.05546161100452018,0.00010968327850149572
validation,PREV_REFUSED_RATE,N0,0.64446142672867,0.6454749439042633,1.5926634832383483e-06
validation,PREV_REFUSED_RATE,N1,0.05167853619936479,0.05066501902377159,2.0074554671767587e-05
validation,PREV_REFUSED_RATE,N2,0.04368421623145047,0.04437254073038275,1.0761247234362624e-05
validation,PREV_REFUSED_RATE,N3,0.049781578918842745,0.04848622809014341,3.415220135869479e-05
validation,PREV_REFUSED_RATE,N4,0.05117448755054036,0.04965692172612273,4.568377973980499e-05
validation,PREV_REFUSED_RATE,N5,0.06971047012021289,0.06983512731293291,2.2271458385153073e-07
validation,PREV_REFUSED_RATE,N6,0.036486618321355406,0.03604760820786316,5.3142424589353365e-06
validation,PREV_ACCEPTED_RATE,MISSING,0.05302266592956326,0.05546161100452018,0.00010968327850149572
validation,PREV_ACCEPTED_RATE,N0,0.054139160786099094,0.05368931091671816,3.7534813549110712e-06
